TEAM	PLAYER	POSITION	SCHOOL	year	round
Houston Texans	Kenny Hilliard	RB	LSU	2015	7
Dallas Cowboys	Mark Nzeocha	OLB	Wyoming	2015	7
Philadelphia Eagles	Brian Mihalik	DE	Boston College	2015	7
Cincinnati Bengals	Mario Alford	WR	West Virginia	2015	7
Pittsburgh Steelers	Gerod Holliman	FS	Louisville	2015	7
Detroit Lions	Corey Robinson	T	South Carolina	2015	7
Cleveland Browns	Ifo Ekpre-Olomu	CB	Oregon	2015	7
Oakland Raiders	Dexter McDonald	CB	Kansas	2015	7
Dallas Cowboys	Laurence Gibson	T	Virginia Tech	2015	7
San Francisco 49ers	Trent Brown	T	Florida	2015	7
Tennessee Titans	Tre McBride	WR	William & Mary	2015	7
Dallas Cowboys	Geoff Swaim	TE	Texas	2015	7
New England Patriots	Darryl Roberts	CB	Marshall	2015	7
Seattle Seahawks	Ryan Murphy	DB	Oregon State	2015	7
Atlanta Falcons	Akeem King	SAF	San Jose State	2015	7
Denver Broncos	Trevor Siemian	QB	Northwestern	2015	7
Denver Broncos	Taurean Nixon	DB	Tulane	2015	7
Denver Broncos	Josh Furman	DB	Oklahoma State	2015	7
New England Patriots	Xzavier Dickson	OLB	Alabama	2015	7
San Francisco 49ers	Rory Anderson	TE	South Carolina	2015	7
Indianapolis Colts	Denzelle Good	T	Mars Hill	2015	7
Arizona Cardinals	Gerald Christian	TE	Louisville	2015	7
Los Angeles Rams	Jared Goff	QB	California	2016	1
Philadelphia Eagles	Carson Wentz	QB	North Dakota State	2016	1
San Diego Chargers	Joey Bosa	DE	Ohio State	2016	1
Dallas Cowboys	Ezekiel Elliott	RB	Ohio State	2016	1
Jacksonville Jaguars	Jalen Ramsey	CB	Florida State	2016	1
Baltimore Ravens	Ronnie Stanley	T	Notre Dame	2016	1
San Francisco 49ers	DeForest Buckner	DE	Oregon	2016	1
Tennessee Titans	Jack Conklin	T	Michigan State	2016	1
Chicago Bears	Leonard Floyd	LB	Georgia	2016	1
New York Giants	Eli Apple	CB	Ohio State	2016	1
Tampa Bay Buccaneers	Vernon Hargreaves	CB	Florida	2016	1
New Orleans Saints	Sheldon Rankins	DT	Louisville	2016	1
Miami Dolphins	Laremy Tunsil	T	Mississippi	2016	1
Oakland Raiders	Karl Joseph	SAF	West Virginia	2016	1
Cleveland Browns	Corey Coleman	WR	Baylor	2016	1
Detroit Lions	Taylor Decker	T	Ohio State	2016	1
Atlanta Falcons	Keanu Neal	SAF	Florida	2016	1
Indianapolis Colts	Ryan Kelly	C	Alabama	2016	1
Buffalo Bills	Shaq Lawson	DE	Clemson	2016	1
New York Jets	Darron Lee	LB	Ohio State	2016	1
Houston Texans	Will Fuller	WR	Notre Dame	2016	1
Washington Redskins	Josh Doctson	WR	Texas Christian	2016	1
Minnesota Vikings	Laquon Treadwell	WR	Mississippi	2016	1
Cincinnati Bengals	William Jackson	CB	Houston	2016	1
Pittsburgh Steelers	Artie Burns	CB	Miami (Fla.)	2016	1
Denver Broncos	Paxton Lynch	QB	Memphis	2016	1
Green Bay Packers	Kenny Clark	NT	UCLA	2016	1
San Francisco 49ers	Joshua Garnett	G	Stanford	2016	1
Arizona Cardinals	Robert Nkemdiche	DT	Mississippi	2016	1
Carolina Panthers	Vernon Butler	DT	Louisiana Tech	2016	1
Seattle Seahawks	Germain Ifedi	G	Texas A&M	2016	1
Cleveland Browns	Emmanuel Ogbah	DE	Oklahoma State	2016	2
Tennessee Titans	Kevin Dodd	DE	Clemson	2016	2
Dallas Cowboys	Jaylon Smith	OLB	Notre Dame	2016	2
San Diego Chargers	Hunter Henry	TE	Arkansas	2016	2
Jacksonville Jaguars	Myles Jack	LB	UCLA	2016	2
Kansas City Chiefs	Chris Jones	DT	Mississippi State	2016	2
Miami Dolphins	Xavien Howard	CB	Baylor	2016	2
Tampa Bay Buccaneers	Noah Spence	DE	Eastern Kentucky	2016	2
New York Giants	Sterling Shepard	WR	Oklahoma	2016	2
Buffalo Bills	Reggie Ragland	ILB	Alabama	2016	2
Baltimore Ravens	Kamalei Correa	DE	Boise State	2016	2
Tennessee Titans	Austin Johnson	NT	Penn State	2016	2
Oakland Raiders	Jihad Ward	DE	Illinois	2016	2
Tennessee Titans	Derrick Henry	RB	Alabama	2016	2
Detroit Lions	A'Shawn Robinson	DT	Alabama	2016	2
New Orleans Saints	Michael Thomas	WR	Ohio State	2016	2
Green Bay Packers	Jason Spriggs	T	Indiana	2016	2
Seattle Seahawks	Jarran Reed	DT	Alabama	2016	2
Houston Texans	Nick Martin	G	Notre Dame	2016	2
New York Jets	Christian Hackenberg	QB	Penn State	2016	2
Atlanta Falcons	Deion Jones	LB	LSU	2016	2
Washington Redskins	Su'a Cravens	LB	USC	2016	2
Minnesota Vikings	Mackensie Alexander	CB	Clemson	2016	2
Cincinnati Bengals	Tyler Boyd	WR	Pittsburgh	2016	2
Chicago Bears	Cody Whitehair	C	Kansas State	2016	2
Indianapolis Colts	T.J. Green	SAF	Clemson	2016	2
Pittsburgh Steelers	Sean Davis	SAF	Maryland	2016	2
Tampa Bay Buccaneers	Roberto Aguayo	K	Florida State	2016	2
New England Patriots	Cyrus Jones	CB	Alabama	2016	2
New Orleans Saints	Vonn Bell	SAF	Ohio State	2016	2
Carolina Panthers	James Bradberry	CB	Samford	2016	2
Denver Broncos	Adam Gotsis	DT	Georgia Tech	2016	2
Tennessee Titans	Kevin Byard	SAF	Middle Tennessee State	2016	3
Cleveland Browns	Carl Nassib	DE	Penn State	2016	3
San Diego Chargers	Max Tuerk	C	USC	2016	3
Dallas Cowboys	Maliek Collins	DT	Nebraska	2016	3
San Francisco 49ers	Will Redmond	CB	Mississippi State	2016	3
Jacksonville Jaguars	Yannick Ngakoue	DE	Maryland	2016	3
Baltimore Ravens	Bronson Kaufusi	DE	Brigham Young	2016	3
New York Giants	Darian Thompson	SAF	Boise State	2016	3
Chicago Bears	Jonathan Bullard	DE	Florida	2016	3
Miami Dolphins	Kenyan Drake	RB	Alabama	2016	3
Kansas City Chiefs	KeiVarae Russell	CB	Notre Dame	2016	3
Oakland Raiders	Shilique Calhoun	DE	Michigan State	2016	3
Cleveland Browns	Shon Coleman	T	Auburn	2016	3
Carolina Panthers	Daryl Worley	CB	West Virginia	2016	3
New England Patriots	Joe Thuney	G	North Carolina State	2016	3
Philadelphia Eagles	Isaac Seumalo	G	Oregon State	2016	3
Buffalo Bills	Adolphus Washington	DT	Ohio State	2016	3
Atlanta Falcons	Austin Hooper	TE	Stanford	2016	3
Indianapolis Colts	Le'Raven Clark	T	Texas Tech	2016	3
New York Jets	Jordan Jenkins	LB	Georgia	2016	3
Washington Redskins	Kendall Fuller	CB	Virginia Tech	2016	3
Houston Texans	Braxton Miller	WR	Ohio State	2016	3
Miami Dolphins	Leonte Carroo	WR	Rutgers	2016	3
Cincinnati Bengals	Nick Vigil	ILB	Utah State	2016	3
Green Bay Packers	Kyler Fackrell	LB	Utah State	2016	3
Pittsburgh Steelers	Javon Hargrave	DT	South Carolina State	2016	3
Seattle Seahawks	C.J. Prosise	RB	Notre Dame	2016	3
New England Patriots	Jacoby Brissett	QB	North Carolina State	2016	3
Arizona Cardinals	Brandon Williams	CB	Texas A&M	2016	3
Cleveland Browns	Cody Kessler	QB	USC	2016	3
Seattle Seahawks	Nick Vannett	TE	Ohio State	2016	3
Detroit Lions	Graham Glasgow	G	Michigan	2016	3
New England Patriots	Vincent Valentine	DT	Nebraska	2016	3
Seattle Seahawks	Rees Odhiambo	G	Boise State	2016	3
Denver Broncos	Justin Simmons	SAF	Boston College	2016	3
Cleveland Browns	Joe Schobert	OLB	Wisconsin	2016	4
Oakland Raiders	Connor Cook	QB	Michigan State	2016	4
Dallas Cowboys	Charles Tapper	DE	Oklahoma	2016	4
San Diego Chargers	Joshua Perry	LB	Ohio State	2016	4
Jacksonville Jaguars	Sheldon Day	DT	Notre Dame	2016	4
Baltimore Ravens	Tavon Young	CB	Temple	2016	4
Kansas City Chiefs	Parker Ehinger	G	Cincinnati	2016	4
Kansas City Chiefs	Eric Murray	CB	Minnesota	2016	4
Baltimore Ravens	Chris Moore	WR	Cincinnati	2016	4
Tampa Bay Buccaneers	Ryan Smith	CB	North Carolina Central	2016	4
New York Giants	B.J. Goodson	LB	Clemson	2016	4
Los Angeles Rams	Tyler Higbee	TE	Western Kentucky	2016	4
Detroit Lions	Miles Killebrew	SAF	Southern Utah	2016	4
New England Patriots	Malcolm Mitchell	WR	Georgia	2016	4
Chicago Bears	Nick Kwiatkoski	LB	West Virginia	2016	4
Cleveland Browns	Ricardo Louis	WR	Auburn	2016	4
Atlanta Falcons	De'Vondre Campbell	LB	Minnesota	2016	4
Indianapolis Colts	Hassan Ridgeway	DT	Texas	2016	4
Los Angeles Rams	Pharoh Cooper	WR	South Carolina	2016	4
New York Jets	Juston Burris	CB	North Carolina State	2016	4
Houston Texans	Tyler Ervin	RB	San Jose State	2016	4
New Orleans Saints	David Onyemata	DT	Manitoba (Canada)	2016	4
Minnesota Vikings	Willie Beavers	T	Western Michigan	2016	4
Cincinnati Bengals	Andrew Billings	NT	Baylor	2016	4
Pittsburgh Steelers	Jerald Hawkins	T	LSU	2016	4
Chicago Bears	Deon Bush	SAF	Miami (Fla.)	2016	4
Indianapolis Colts	Antonio Morrison	LB	Florida	2016	4
Kansas City Chiefs	Demarcus Robinson	WR	Florida	2016	4
Chicago Bears	Deiondre' Hall	SAF	Northern Iowa	2016	4
Arizona Cardinals	Evan Boehm	C	Missouri	2016	4
Cleveland Browns	Derrick Kindred	SAF	Texas Christian	2016	4
Baltimore Ravens	Alex Lewis	T	Nebraska	2016	4
Green Bay Packers	Blake Martinez	LB	Stanford	2016	4
Baltimore Ravens	Willie Henry	DT	Michigan	2016	4
San Francisco 49ers	Rashard Robinson	CB	LSU	2016	4
Baltimore Ravens	Kenneth Dixon	RB	Louisiana Tech	2016	4
Dallas Cowboys	Dak Prescott	QB	Mississippi State	2016	4
Denver Broncos	Devontae Booker	RB	Utah	2016	4
Green Bay Packers	Dean Lowry	DE	Northwestern	2016	4
Cleveland Browns	Seth DeValve	WR	Princeton	2016	4
Buffalo Bills	Cardale Jones	QB	Ohio State	2016	4
Tennessee Titans	Tajae Sharpe	WR	Massachusetts	2016	5
Carolina Panthers	Zack Sanchez	CB	Oklahoma	2016	5
San Francisco 49ers	Ronald Blair	DE	Appalachian State	2016	5
Oakland Raiders	DeAndre Washington	RB	Texas Tech	2016	5
Denver Broncos	Connor McGovern	G	Missouri	2016	5
San Francisco 49ers	John Theus	T	Georgia	2016	5
Baltimore Ravens	Matt Judon	DE	Grand Valley State	2016	5
Seattle Seahawks	Quinton Jefferson	DT	Maryland	2016	5
Tampa Bay Buccaneers	Caleb Benenoch	T	UCLA	2016	5
New York Giants	Paul Perkins	RB	UCLA	2016	5
Chicago Bears	Jordan Howard	RB	Indiana	2016	5
Detroit Lions	Joe Dahl	G	Washington State	2016	5
Washington Redskins	Matthew Ioannidis	DT	Temple	2016	5
Philadelphia Eagles	Wendell Smallwood	RB	West Virginia	2016	5
Cleveland Browns	Jordan Payton	WR	UCLA	2016	5
Indianapolis Colts	Joe Haeg	T	North Dakota State	2016	5
Buffalo Bills	Jonathan Williams	RB	Arkansas	2016	5
Tennessee Titans	LeShaun Sims	CB	Southern Utah	2016	5
New York Jets	Brandon Shell	T	South Carolina	2016	5
Houston Texans	K.J. Dillon	SAF	West Virginia	2016	5
Minnesota Vikings	Kentrell Brothers	LB	Missouri	2016	5
Cincinnati Bengals	Christian Westerman	G	Arizona State	2016	5
Kansas City Chiefs	Kevin Hogan	QB	Stanford	2016	5
Green Bay Packers	Trevor Davis	WR	California	2016	5
Philadelphia Eagles	Halapoulivaati Vaitai	T	Texas Christian	2016	5
Kansas City Chiefs	Tyreek Hill	WR	West Alabama	2016	5
Houston Texans	D.J. Reader	NT	Clemson	2016	5
Arizona Cardinals	Marqui Christian	SAF	Midwestern State	2016	5
Cleveland Browns	Spencer Drango	G	Baylor	2016	5
Detroit Lions	Antwione Williams	LB	Georgia Southern	2016	5
Arizona Cardinals	Cole Toner	T	Harvard	2016	5
Seattle Seahawks	Alex Collins	RB	Arkansas	2016	5
Cleveland Browns	Rashard Higgins	WR	Colorado State	2016	5
Cleveland Browns	Trey Caldwell	DB	Louisiana-Monroe	2016	5
San Francisco 49ers	Fahn Cooper	T	Mississippi	2016	5
San Diego Chargers	Jatavis Brown	LB	Akron	2016	5
Denver Broncos	Andy Janovich	FB	Nebraska	2016	6
Los Angeles Rams	Temarrick Hemingway	TE	South Carolina State	2016	6
Kansas City Chiefs	D.J. White	CB	Georgia Tech	2016	6
San Diego Chargers	Drew Kaser	P	Texas A&M	2016	6
Minnesota Vikings	Moritz Boehringer	WR	Unknown	2016	6
Jacksonville Jaguars	Tyrone Holmes	LB	Montana	2016	6
Baltimore Ravens	Keenan Reynolds	WR	Navy	2016	6
Tampa Bay Buccaneers	Devante Bond	OLB	Oklahoma	2016	6
New York Giants	Jerell Adams	TE	South Carolina	2016	6
Chicago Bears	DeAndre Houston-Carson	SAF	William & Mary	2016	6
Miami Dolphins	Jakeem Grant	WR	Texas Tech	2016	6
Washington Redskins	Nate Sudfeld	QB	Indiana	2016	6
Minnesota Vikings	David Morgan	TE	Texas-San Antonio	2016	6
Dallas Cowboys	Anthony Brown	CB	Purdue	2016	6
Los Angeles Rams	Josh Forrest	LB	Kentucky	2016	6
Detroit Lions	Jake Rudock	QB	Michigan	2016	6
Buffalo Bills	Kolby Listenbee	WR	Texas Christian	2016	6
Tennessee Titans	Sebastian Tretola	G	Arkansas	2016	6
Oakland Raiders	Cory James	LB	Colorado State	2016	6
Atlanta Falcons	Wes Schweitzer	G	San Jose State	2016	6
Philadelphia Eagles	Blake Countess	CB	Auburn	2016	6
Tampa Bay Buccaneers	Danny Vitale	TE	Northwestern	2016	6
San Diego Chargers	Derek Watt	FB	Wisconsin	2016	6
Cincinnati Bengals	Cody Core	WR	Mississippi	2016	6
Green Bay Packers	Kyle Murphy	T	Stanford	2016	6
Jacksonville Jaguars	Brandon Allen	QB	Arkansas	2016	6
Detroit Lions	Anthony Zettel	DT	Penn State	2016	6
Kansas City Chiefs	Dadi Nicolas	LB	Virginia Tech	2016	6
Miami Dolphins	Jordan Lucas	SAF	Penn State	2016	6
Arizona Cardinals	Harlan Miller	CB	Southeastern Louisiana	2016	6
Los Angeles Rams	Mike Thomas	WR	Southern Mississippi	2016	6
San Francisco 49ers	Jeff Driskel	QB	Louisiana Tech	2016	6
New England Patriots	Kamu Grugier-Hill	LB	Eastern Illinois	2016	6
Baltimore Ravens	Maurice Canady	CB	Virginia	2016	6
Detroit Lions	Jimmy Landes	LS	Baylor	2016	6
San Francisco 49ers	Kelvin Taylor	RB	Florida	2016	6
Dallas Cowboys	Kavon Frazier	SAF	Central Michigan	2016	6
San Francisco 49ers	Aaron Burbridge	WR	Michigan State	2016	6
New England Patriots	Elandon Roberts	LB	Houston	2016	6
Seattle Seahawks	Joey Hunt	C	Texas Christian	2016	6
Dallas Cowboys	Darius Jackson	RB	Eastern Michigan	2016	6
Dallas Cowboys	Rico Gathers	TE	Baylor	2016	6
Buffalo Bills	Kevon Seymour	CB	USC	2016	6
Denver Broncos	Will Parks	SAF	Arizona	2016	6
Pittsburgh Steelers	Travis Feeney	OLB	Washington	2016	6
New England Patriots	Ted Karras	G	Illinois	2016	6
Tennessee Titans	Aaron Wallace	OLB	UCLA	2016	7
Miami Dolphins	Brandon Doughty	QB	Western Kentucky	2016	7
San Diego Chargers	Donavon Clark	G	Michigan State	2016	7
New England Patriots	Devin Lucien	WR	Arizona State	2016	7
Jacksonville Jaguars	Jonathan Woodard	DE	Central Arkansas	2016	7
Minnesota Vikings	Stephen Weatherly	OLB	Vanderbilt	2016	7
Denver Broncos	Riley Dixon	P	Syracuse	2016	7
Pittsburgh Steelers	DeMarcus Ayers	WR	Houston	2016	7
Chicago Bears	Daniel Braverman	WR	Western Michigan	2016	7
Miami Dolphins	Thomas Duarte	TE	UCLA	2016	7
Washington Redskins	Steven Daniels	ILB	Boston College	2016	7
Philadelphia Eagles	Jalen Mills	SAF	LSU	2016	7
Oakland Raiders	Vadal Alexander	G	LSU	2016	7
New York Jets	Lac Edwards	P	Sam Houston State	2016	7
Detroit Lions	Dwayne Washington	RB	Washington	2016	7
New Orleans Saints	Daniel Lasco	RB	California	2016	7
Atlanta Falcons	Devin Fuller	WR	UCLA	2016	7
Indianapolis Colts	Trevor Bates	LB	Maine	2016	7
Philadelphia Eagles	Alex McCalister	DE	Florida	2016	7
New York Jets	Charone Peake	WR	Clemson	2016	7
Washington Redskins	Keith Marshall	RB	Georgia	2016	7
Seattle Seahawks	Kenny Lawler	WR	California	2016	7
Minnesota Vikings	Jayron Kearse	SAF	Clemson	2016	7
Cincinnati Bengals	Clayton Fejedelem	SAF	Illinois	2016	7
Pittsburgh Steelers	Tyler Matakevich	LB	Temple	2016	7
Seattle Seahawks	Zac Brooks	RB	Clemson	2016	7
Indianapolis Colts	Austin Blythe	C	Iowa	2016	7
San Francisco 49ers	Prince Charles Iworah	CB	Western Kentucky	2016	7
Cleveland Browns	Scooby Wright	LB	Arizona	2016	7
Philadelphia Eagles	Joe Walker	ILB	Oregon	2016	7
Carolina Panthers	Beau Sandland	TE	Montana State	2016	7
Tennessee Titans	Kalan Reed	DB	Southern Mississippi	2016	7
Cleveland Browns	Myles Garrett	DE	Texas A&M	2017	1
Chicago Bears	Mitchell Trubisky	QB	North Carolina	2017	1
San Francisco 49ers	Solomon Thomas	DE	Stanford	2017	1
Jacksonville Jaguars	Leonard Fournette	RB	LSU	2017	1
Tennessee Titans	Corey Davis	WR	Western Michigan	2017	1
New York Jets	Jamal Adams	SAF	LSU	2017	1
Los Angeles Chargers	Mike Williams	WR	Clemson	2017	1
Carolina Panthers	Christian McCaffrey	RB	Stanford	2017	1
Cincinnati Bengals	John Ross	WR	Washington	2017	1
Kansas City Chiefs	Patrick Mahomes	QB	Texas Tech	2017	1
New Orleans Saints	Marshon Lattimore	CB	Ohio State	2017	1
Houston Texans	Deshaun Watson	QB	Clemson	2017	1
Arizona Cardinals	Haason Reddick	LB	Temple	2017	1
Philadelphia Eagles	Derek Barnett	DE	Tennessee	2017	1
Indianapolis Colts	Malik Hooker	SAF	Ohio State	2017	1
Baltimore Ravens	Marlon Humphrey	CB	Alabama	2017	1
Washington Redskins	Jonathan Allen	DE	Alabama	2017	1
Tennessee Titans	Adoree' Jackson	CB	USC	2017	1
Tampa Bay Buccaneers	O.J. Howard	TE	Alabama	2017	1
Denver Broncos	Garett Bolles	T	Utah	2017	1
Detroit Lions	Jarrad Davis	LB	Florida	2017	1
Miami Dolphins	Charles Harris	DE	Missouri	2017	1
New York Giants	Evan Engram	TE	Mississippi	2017	1
Oakland Raiders	Gareon Conley	CB	Ohio State	2017	1
Cleveland Browns	Jabrill Peppers	SAF	Michigan	2017	1
Atlanta Falcons	Takkarist McKinley	DE	UCLA	2017	1
Buffalo Bills	Tre'Davious White	CB	LSU	2017	1
Dallas Cowboys	Taco Charlton	DE	Michigan	2017	1
Cleveland Browns	David Njoku	TE	Miami (Fla.)	2017	1
Pittsburgh Steelers	T.J. Watt	LB	Wisconsin	2017	1
San Francisco 49ers	Reuben Foster	LB	Alabama	2017	1
New Orleans Saints	Ryan Ramczyk	T	Wisconsin	2017	1
Green Bay Packers	Kevin King	CB	Washington	2017	2
Jacksonville Jaguars	Cam Robinson	T	Alabama	2017	2
Seattle Seahawks	Malik McDowell	DT	Michigan State	2017	2
Arizona Cardinals	Budda Baker	SAF	Washington	2017	2
Buffalo Bills	Zay Jones	WR	East Carolina	2017	2
Los Angeles Chargers	Forrest Lamp	G	Western Kentucky	2017	2
New York Jets	Marcus Maye	SAF	Florida	2017	2
Carolina Panthers	Curtis Samuel	WR	Ohio State	2017	2
Minnesota Vikings	Dalvin Cook	RB	Florida State	2017	2
New Orleans Saints	Marcus Williams	SAF	Utah	2017	2
Philadelphia Eagles	Sidney Jones	CB	Washington	2017	2
Los Angeles Rams	Gerald Everett	TE	South Alabama	2017	2
Chicago Bears	Adam Shaheen	TE	Ashland	2017	2
Indianapolis Colts	Quincy Wilson	CB	Florida	2017	2
Baltimore Ravens	Tyus Bowser	LB	Houston	2017	2
Cincinnati Bengals	Joe Mixon	RB	Oklahoma	2017	2
Washington Redskins	Ryan Anderson	LB	Alabama	2017	2
Tampa Bay Buccaneers	Justin Evans	SAF	Texas A&M	2017	2
Denver Broncos	DeMarcus Walker	DE	Florida State	2017	2
Cleveland Browns	DeShone Kizer	QB	Notre Dame	2017	2
Detroit Lions	Teez Tabor	CB	Florida	2017	2
Miami Dolphins	Raekwon McMillan	LB	Ohio State	2017	2
New York Giants	Dalvin Tomlinson	DT	Alabama	2017	2
Oakland Raiders	Obi Melifonwu	SAF	Connecticut	2017	2
Houston Texans	Zach Cunningham	LB	Vanderbilt	2017	2
Seattle Seahawks	Ethan Pocic	C	LSU	2017	2
Kansas City Chiefs	Tanoh Kpassagnon	DE	Villanova	2017	2
Dallas Cowboys	Chidobe Awuzie	CB	Colorado	2017	2
Green Bay Packers	Josh Jones	SAF	North Carolina State	2017	2
Pittsburgh Steelers	JuJu Smith-Schuster	WR	USC	2017	2
Buffalo Bills	Dion Dawkins	G	Temple	2017	2
Carolina Panthers	Taylor Moton	G	Western Michigan	2017	2
Cleveland Browns	Larry Ogunjobi	DT	North Carolina-Charlotte	2017	3
San Francisco 49ers	Ahkello Witherspoon	CB	Colorado	2017	3
New Orleans Saints	Alvin Kamara	RB	Tennessee	2017	3
Jacksonville Jaguars	Dawuane Smoot	DE	Illinois	2017	3
Los Angeles Rams	Cooper Kupp	WR	Eastern Washington	2017	3
Minnesota Vikings	Pat Elflein	C	Ohio State	2017	3
Los Angeles Chargers	Dan Feeney	G	Indiana	2017	3
Tennessee Titans	Taywan Taylor	WR	Western Kentucky	2017	3
Cincinnati Bengals	Jordan Willis	DE	Kansas State	2017	3
Baltimore Ravens	Chris Wormley	DE	Michigan	2017	3
Atlanta Falcons	Duke Riley	LB	LSU	2017	3
New Orleans Saints	Alex Anzalone	LB	Florida	2017	3
Carolina Panthers	Daeshon Hall	DE	Texas A&M	2017	3
Baltimore Ravens	Tim Williams	LB	Alabama	2017	3
New York Jets	ArDarius Stewart	WR	Alabama	2017	3
Indianapolis Colts	Tarell Basham	DE	Ohio U.	2017	3
Washington Redskins	Fabian Moreau	CB	UCLA	2017	3
Denver Broncos	Carlos Henderson	WR	Louisiana Tech	2017	3
New England Patriots	Derek Rivers	OLB	Youngstown State	2017	3
Tampa Bay Buccaneers	Chris Godwin	WR	Penn State	2017	3
New England Patriots	Antonio Garcia	T	Troy	2017	3
Kansas City Chiefs	Kareem Hunt	RB	Toledo	2017	3
New York Giants	Davis Webb	QB	California	2017	3
Oakland Raiders	Eddie Vanderdoes	DT	UCLA	2017	3
Houston Texans	D'Onta Foreman	RB	Texas	2017	3
Seattle Seahawks	Shaquill Griffin	CB	Central Florida	2017	3
Los Angeles Rams	John Johnson	SAF	Boston College	2017	3
Dallas Cowboys	Jourdan Lewis	CB	Michigan	2017	3
Green Bay Packers	Montravius Adams	DT	Auburn	2017	3
Pittsburgh Steelers	Cameron Sutton	CB	Tennessee	2017	3
Seattle Seahawks	Delano Hill	SAF	Michigan	2017	3
Detroit Lions	Kenny Golladay	WR	Northern Illinois	2017	3
Miami Dolphins	Cordrea Tankersley	CB	Clemson	2017	3
Arizona Cardinals	Chad Williams	WR	Grambling State	2017	3
Philadelphia Eagles	Rasul Douglas	CB	West Virginia	2017	3
Tennessee Titans	Jonnu Smith	TE	Florida International	2017	3
Denver Broncos	Brendan Langley	CB	Lamar	2017	3
Seattle Seahawks	Nazair Jones	DT	North Carolina	2017	3
New Orleans Saints	Trey Hendrickson	DE	Florida Atlantic	2017	3
San Francisco 49ers	C.J. Beathard	QB	Iowa	2017	3
Pittsburgh Steelers	James Conner	RB	Pittsburgh	2017	3
Seattle Seahawks	Amara Darboh	WR	Michigan	2017	3
Tampa Bay Buccaneers	Kendell Beckwith	LB	LSU	2017	3
Green Bay Packers	Vince Biegel	LB	Wisconsin	2017	4
Minnesota Vikings	Jaleel Johnson	DT	Iowa	2017	4
Jacksonville Jaguars	Dede Westbrook	WR	Oklahoma	2017	4
Seattle Seahawks	Tedric Thompson	SAF	Colorado	2017	4
Chicago Bears	Eddie Jackson	SAF	Alabama	2017	4
Los Angeles Chargers	Rayshawn Jenkins	SAF	Miami (Fla.)	2017	4
Washington Redskins	Samaje Perine	RB	Oklahoma	2017	4
Arizona Cardinals	Dorian Johnson	G	Pittsburgh	2017	4
Cincinnati Bengals	Carl Lawson	DE	Auburn	2017	4
Los Angeles Rams	Josh Reynolds	WR	Texas A&M	2017	4
Philadelphia Eagles	Mack Hollins	WR	North Carolina	2017	4
Chicago Bears	Tarik Cohen	RB	North Carolina A&T	2017	4
Minnesota Vikings	Ben Gedeon	LB	Michigan	2017	4
San Francisco 49ers	Joe Williams	RB	Utah	2017	4
Baltimore Ravens	Nico Siragusa	G	San Diego State	2017	4
Washington Redskins	Montae Nicholson	SAF	Michigan State	2017	4
Detroit Lions	Jalen Reeves-Maybin	LB	Tennessee	2017	4
Los Angeles Rams	Samson Ebukam	LB	Eastern Washington	2017	4
Cleveland Browns	Howard Wilson	CB	Houston	2017	4
Detroit Lions	Michael Roberts	TE	Toledo	2017	4
Cincinnati Bengals	Josh Malone	WR	Tennessee	2017	4
Oakland Raiders	David Sharpe	T	Florida	2017	4
